model_name,split,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,target_positive_rate,positive_rate_penalty,balanced_score,precision_compromise_score,predicted_positives,false_positives,false_negatives,true_positives,true_negatives,train_val_precision_gap,train_val_f1_gap,train_val_roc_auc_gap,reference_false_positives,false_positive_reduction,false_positive_reduction_rate
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.66,0.6415478615071283,0.7419354838709677,0.12041884816753927,0.2072072072072072,0.6507504363001746,0.06313645621181263,0.3890020366598778,0.3258655804480652,0.4066696880819997,0.6258713237811363,31,8,168,23,292,0.0,0.0,0.0,244,236,0.9672131147540983
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.67,0.6415478615071283,0.7586206896551724,0.11518324607329843,0.2,0.6507504363001746,0.059063136456211814,0.3890020366598778,0.329938900203666,0.403216273374493,0.6361095263886382,29,7,169,22,293,0.0,0.0,0.0,244,237,0.9713114754098361
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.68,0.639511201629328,0.7692307692307693,0.10471204188481675,0.18433179723502305,0.6507504363001746,0.05295315682281059,0.3890020366598778,0.3360488798370672,0.3953614530673328,0.6404029415385605,26,6,171,20,294,0.0,0.0,0.0,244,238,0.9754098360655737
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.69,0.639511201629328,0.8181818181818182,0.09424083769633508,0.16901408450704225,0.6507504363001746,0.04480651731160896,0.3890020366598778,0.34419551934826886,0.3881384692425711,0.6716051332586986,22,4,173,18,296,0.0,0.0,0.0,244,240,0.9836065573770492
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.7,0.6374745417515275,0.8823529411764706,0.07853403141361257,0.14423076923076922,0.6507504363001746,0.034623217922606926,0.3890020366598778,0.3543788187372709,0.3761624673714729,0.7115682562997007,17,2,176,15,298,0.0,0.0,0.0,244,242,0.9918032786885246
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.71,0.6334012219959266,0.8666666666666667,0.06806282722513089,0.1262135922330097,0.6507504363001746,0.03054989816700611,0.3890020366598778,0.3584521384928717,0.36697634111338856,0.6969844287432861,15,2,178,13,298,0.0,0.0,0.0,244,242,0.9918032786885246
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.72,0.6313645621181263,0.8571428571428571,0.06282722513089005,0.11707317073170732,0.6507504363001746,0.028513238289205704,0.3890020366598778,0.3604887983706721,0.3623371364334984,0.6884896777763589,14,2,179,12,298,0.0,0.0,0.0,244,242,0.9918032786885246
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.73,0.6293279022403259,0.8461538461538461,0.05759162303664921,0.10784313725490197,0.6507504363001746,0.026476578411405296,0.3890020366598778,0.36252545824847254,0.3576665675621823,0.6789513633886902,13,2,180,11,298,0.0,0.0,0.0,244,242,0.9918032786885246
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.74,0.6272912423625254,0.8333333333333334,0.05235602094240838,0.09852216748768473,0.6507504363001746,0.024439918533604887,0.3890020366598778,0.3645621181262729,0.35296417098922195,0.6681128104608878,12,2,181,10,298,0.0,0.0,0.0,244,242,0.9918032786885246
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.75,0.6272912423625254,0.8333333333333334,0.05235602094240838,0.09852216748768473,0.6507504363001746,0.024439918533604887,0.3890020366598778,0.3645621181262729,0.35296417098922195,0.6681128104608878,12,2,181,10,298,0.0,0.0,0.0,244,242,0.9918032786885246
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.76,0.6313645621181263,1.0,0.05235602094240838,0.09950248756218906,0.6507504363001746,0.020366598778004074,0.3890020366598778,0.36863543788187375,0.35432561295419873,0.7849755411424553,10,0,181,10,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.77,0.6313645621181263,1.0,0.05235602094240838,0.09950248756218906,0.6507504363001746,0.020366598778004074,0.3890020366598778,0.36863543788187375,0.35432561295419873,0.7849755411424553,10,0,181,10,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.78,0.6252545824847251,1.0,0.03664921465968586,0.0707070707070707,0.6507504363001746,0.014256619144602852,0.3890020366598778,0.37474541751527496,0.3399270455916046,0.7792164577714316,7,0,184,7,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.79,0.6232179226069247,1.0,0.031413612565445025,0.06091370558375635,0.6507504363001746,0.012219959266802444,0.3890020366598778,0.37678207739307534,0.3350593106440103,0.7772577847467687,6,0,185,6,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.8,0.6232179226069247,1.0,0.031413612565445025,0.06091370558375635,0.6507504363001746,0.012219959266802444,0.3890020366598778,0.37678207739307534,0.3350593106440103,0.7772577847467687,6,0,185,6,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.81,0.6232179226069247,1.0,0.031413612565445025,0.06091370558375635,0.6507504363001746,0.012219959266802444,0.3890020366598778,0.37678207739307534,0.3350593106440103,0.7772577847467687,6,0,185,6,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.82,0.6232179226069247,1.0,0.031413612565445025,0.06091370558375635,0.6507504363001746,0.012219959266802444,0.3890020366598778,0.37678207739307534,0.3350593106440103,0.7772577847467687,6,0,185,6,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.83,0.6211812627291242,1.0,0.02617801047120419,0.05102040816326531,0.6507504363001746,0.010183299389002037,0.3890020366598778,0.3788187372708758,0.3301565993924041,0.7752791252626705,5,0,186,5,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.84,0.6211812627291242,1.0,0.02617801047120419,0.05102040816326531,0.6507504363001746,0.010183299389002037,0.3890020366598778,0.3788187372708758,0.3301565993924041,0.7752791252626705,5,0,186,5,300,0.0,0.0,0.0,244,244,1.0
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.85,0.6211812627291242,1.0,0.02617801047120419,0.05102040816326531,0.6507504363001746,0.010183299389002037,0.3890020366598778,0.3788187372708758,0.3301565993924041,0.7752791252626705,5,0,186,5,300,0.0,0.0,0.0,244,244,1.0
